Altium Designer Pick and Place Locations
C:\Users\sinan\projects\pi_clock\pi_clock\60_projectoutput\pi-clock\pi_clock_1_A_1_SCH_BOM_PP_Data\Pick Place\pi_clock_1_A_1_Pick Place.csv

========================================================================================================================
File Design Information:

Date:       24.09.24
Time:       19:18
Revision:   Not in VersionControl
Variant:    1
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U301","SHT31-DIS-B","BottomLayer","8__-__Pin_DFN_2.5__x__2.5__mm_x_0.9_mm","81.8000","53.7000","180","SENSIRION         SHT31-DIS-B             Humidity Sensor, 2 %, 3.3 V, 0% to 100% Relative Humidity, TDFN, 8 Pins, 8 s"
"R307","RMCF0402FT4K70","BottomLayer","RESC0402(1005)_L","22.3708","1.6684","0","4.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"R306","RMCF0402FT4K70","BottomLayer","RESC0402(1005)_L","22.3708","0.7684","0","4.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"
"C308","GRM155R62A104KE14D","BottomLayer","CAPC0402(1005)60_L","81.8000","51.8000","0","0.1µF ±10% 100V Ceramic Capacitor X5R 0402 (1005 Metric)"
"BUZ300","AST1240MLTRQ","BottomLayer","AST1240MLTRQ","49.7000","7.2000","270","Buzzers Transducer, Externally Driven Piezo 3V 5mA 4kHz 75dB @ 3V, 10cm Surface Mount Solder Pads"
"J301","TC2050-IDC","TopLayer","TC2050-IDC","68.2700","51.9350","0","TDC2050-IDC, 10Pins, dual footprint (leg and no-legs)"
"M105","Fiducial Round","BottomLayer","Fiducial_round_small","82.4000","1.9000","90","Fiducial (Optical Marker)"
"M104","Fiducial Round","BottomLayer","Fiducial_round_small","75.6000","54.7000","90","Fiducial (Optical Marker)"
"M103","Fiducial Round","BottomLayer","Fiducial_round_small","1.4924","6.0000","90","Fiducial (Optical Marker)"
"M102","Fiducial Round","TopLayer","Fiducial_round_small","82.4000","1.9000","90","Fiducial (Optical Marker)"
